stock_id,名稱,weight_per
3558,神準,0.0686
4107,邦特,0.0683
8464,億豐,0.0676
2353,宏碁,0.0672
6781,AES-KY,0.0672
6785,昱展新藥,0.0667
7777,能率亞洲,0.0663
7556,意德士,0.0662
2838,聯邦銀,0.0655
3577,泓格,0.0649
6654,天正國際,0.0649
2467,志聖,0.0648
2105,正新,0.0647
8383,千附,0.0637
5278,尚凡*,0.0637
6409,旭隼,0.0634
6163,華電網,0.0629
6741,91APP*-KY,0.0627
5263,智崴,0.0624
2542,興富發,0.0623
3498,陽程,0.0622
3236,千如,0.062
5403,中菲,0.0619
3090,日電貿,0.0618
3581,博磊,0.0618
6691,洋基工程,0.0616
8076,伍豐,0.0615
1268,漢來美食,0.0611
4205,中華食,0.0609
3213,茂訊,0.0606
5464,霖宏,0.0603
6953,家碩,0.0597
7703,銳澤,0.0597
6015,宏遠證,0.0595
1513,中興電,0.0593
4721,美琪瑪,0.0592
2729,瓦城,0.0592
6499,益安,0.0586
1717,長興,0.0584
3169,亞信,0.058
5457,宣德,0.0575
5474,聰泰,0.0572
1476,儒鴻,0.0571
1569,濱川,0.0567
8916,光隆,0.0562
5489,彩富,0.0556
6761,穩得,0.0556
8021,尖點,0.0555
7712,博盛半導體,0.0554
6005,群益證,0.0553
3388,崇越電,0.0552
6983,華洋精機,0.0547
4167,松瑞藥,0.0544
4166,友霖,0.0542
4939,亞電,0.0541
6265,方土昶,0.0541
6199,天品,0.0537
6762,達亞,0.0536
5299,杰力,0.0536
2855,統一證,0.0534
5512,力麒,0.0534
4163,鐿鈦,0.053
6026,福邦證,0.0529
6870,騰雲,0.0528
3630,新鉅科,0.0527
3221,台嘉碩,0.0527
2385,群光,0.0527
3023,信邦,0.0526
8454,富邦媒,0.0525
4157,太景*-KY,0.0525
8074,鉅橡,0.0524
2354,鴻準,0.0521
2441,超豐,0.0517
1580,新麥,0.0516
3030,德律,0.0516
3450,聯鈞,0.0516
8083,瑞穎,0.0515
1229,聯華,0.0514
3290,東浦,0.0513
8147,正淩,0.0511
9945,潤泰新,0.0508
2641,正德,0.0508
3141,晶宏,0.0505
5381,光譜,0.0499
4126,太醫,0.0499
6944,兆聯實業,0.0499
9904,寶成,0.0498
2472,立隆電,0.0498
6841,長佳智能,0.0497
8044,網家,0.0497
3167,大量,0.0497
8099,大世科,0.0496
1788,杏昌,0.0496
3406,玉晶光,0.0495
3548,兆利,0.0493
6877,鏵友益,0.0491
6020,大展證,0.049
8111,立碁,0.0488
4549,桓達,0.0486
4919,新唐,0.0485
3583,辛耘,0.0484
6417,韋僑,0.0478
6124,業強,0.0474
4933,友輝,0.0473
6203,海韻電,0.0469
3303,岱稜,0.0468
8150,南茂,0.0467
2481,強茂,0.0465
2633,台灣高鐵,0.0464
2645,長榮航太,0.0463
6101,寬魚國際,0.0462
9910,豐泰,0.0461
8240,華宏,0.0456
4726,永昕,0.0455
6651,全宇昕,0.0455
5312,寶島科,0.0453
3219,倚強科,0.0452
8182,加高,0.045
6913,鴻呈,0.0449
2755,揚秦,0.0448
3006,晶豪科,0.0448
6859,伯特光,0.0445
4974,亞泰,0.0436
6170,統振,0.0436
5452,佶優,0.0436
8931,大汽電,0.0435
7799,禾榮科,0.0432
6568,宏觀,0.0429
5520,力泰,0.0429
2455,全新,0.0428
6538,倉和,0.0428
6895,宏碩系統,0.0427
6875,國邑*,0.0426
2646,星宇航空,0.0423
2845,遠東銀,0.0422
3310,佳穎,0.0422
1565,精華,0.0422
6220,岳豐,0.0422
8926,台汽電,0.0422
3594,磐儀,0.0421
3546,宇峻,0.042
3005,神基,0.0419
3294,英濟,0.0418
6234,高僑,0.0418
6690,安碁資訊,0.0416
3430,奇鈦科,0.0416
5209,新鼎,0.0416
4907,富宇,0.0415
6278,台表科,0.0415
6111,光聚晶電,0.0413
6451,訊芯-KY,0.0411
8416,實威,0.041
3372,典範,0.0406
6922,宸曜,0.0405
2752,豆府,0.0404
5523,豐謙,0.0404
8446,華研,0.0402
8924,大田,0.0402
