rank,代號,名稱,收盤,市值億
649,4420,光明,36.25,14.7
650,5015,華祺工業,23.75,14.4
651,3522,御嵿,13.7,14.3
652,1742,台蠟,15.3,14.2
653,3465,進泰電子,40.0,14.1
654,3531,先益電子,23.05,14.1
655,4109,加捷生醫,11.8,14.0
656,3325,旭品,12.65,13.9
657,1796,金穎生技,33.5,13.9
658,4304,勝昱科技,22.7,13.8
659,4161,聿新科,23.1,13.8
660,5543,桓鼎-KY,29.45,13.8
661,4131,浩泰,34.45,13.7
662,5548,安倉,23.75,13.7
663,3360,尚立,17.95,13.7
664,6721,信實,55.6,13.6
665,6730,常廣,37.5,13.6
666,6195,詩肯,26.9,13.5
667,8089,康全電訊,20.4,13.5
668,4173,久裕,18.0,13.4
669,6843,進典,40.25,13.4
670,3379,彬台,35.0,13.3
671,8489,三貝德,22.15,13.3
672,4528,江興鍛壓,15.75,13.2
673,5202,力新國際,14.85,13.2
674,6114,久威國際,30.0,13.2
675,5344,立衛科技,16.55,13.1
676,8272,全景軟體,69.2,13.1
677,8034,榮群電訊,23.0,13.0
678,7770,君曜,43.2,13.0
679,4568,科際精密,40.85,13.0
680,6856,鑫傳,45.95,12.9
681,3122,笙泉,31.75,12.9
682,7767,仁大資訊,42.9,12.9
683,3523,迎輝科技,20.0,12.8
684,8354,冠好,16.3,12.8
685,6560,欣普羅,39.4,12.8
686,3713,新晶投控,14.5,12.8
687,8087,麗升能源,32.9,12.7
688,4433,興采,20.7,12.7
689,5245,智晶,28.05,12.7
690,4735,豪展,30.3,12.6
691,5704,老爺知,21.3,12.5
692,6925,意藍,62.6,12.5
693,8906,花王企業,28.3,12.5
694,5016,松和工業,25.05,12.4
695,3541,西柏科技,21.8,12.3
696,6680,鑫創電子,51.0,12.2
697,5488,松普科技,13.3,12.2
698,4584,君帆,40.45,12.1
699,6872,浩宇生醫,17.15,12.1
700,9949,琉園,27.0,12.1
701,1336,台翰,15.5,12.0
702,5272,笙科,21.75,12.0
703,2948,寶陞,38.75,12.0
704,6109,亞元科技,13.65,12.0
705,6441,廣錠,22.4,11.9
