日期,代號,名稱,訊號,未來訊號,評等,收盤,PER,PE位階,PBR位階,含金量
2026-06-29,4977,眾達-KY,,,D,167.0,36.23,73,94,-0.65
2026-06-29,6739,竹陞科技,,,B,996.0,51.9,73,91,1.15
2026-06-29,2480,敦陽科,,,B,150.0,17.88,76,92,1.33
2026-06-29,8284,三竹,,,D,66.0,14.44,76,28,0.75
2026-06-29,6112,邁達特,,,D,43.3,25.62,76,63,-3.06
2026-06-29,2353,宏碁,,,D,32.2,24.39,76,58,-2.99
2026-06-29,2882,國泰金,,,金融🏦,101.5,14.38,78,100,
2026-06-29,3081,聯亞,,,B,2035.0,266.36,79,98,1.13
2026-06-29,3004,豐達科,,,D,126.5,21.89,79,39,0.04
2026-06-29,2645,長榮航太,,,B,172.0,26.26,79,96,1.37
2026-06-29,2855,統一證,,,金融🏦,50.3,16.77,80,100,-1.14
2026-06-29,3450,聯鈞,,,C,505.0,150.3,80,100,1.73
2026-06-29,1519,華城,,,A,783.0,53.81,80,91,1.12
2026-06-29,3017,奇鋐,,,A,2300.0,37.67,80,2,1.81
2026-06-29,2881,富邦金,,,金融🏦,128.5,15.35,81,100,
2026-06-29,8210,勤誠,,,A,1215.0,35.51,82,98,0.84
2026-06-29,3406,玉晶光,,,B,657.0,19.91,84,70,2.02
2026-06-29,2887,台新新光金,,,金融🏦,33.0,17.28,85,100,
2026-06-29,3189,景碩,,,C,810.0,199.02,85,100,2.56
2026-06-29,3551,世禾,,,D,194.5,22.38,86,93,-0.79
2026-06-29,2937,集雅社,,,D,48.9,12.83,86,98,0.11
2026-06-29,2402,毅嘉,,,A,64.3,32.81,87,99,1.15
2026-06-29,6788,華景電,,,A,422.5,22.85,88,97,1.09
2026-06-29,1504,東元,,,D,69.0,28.87,89,91,0.7
2026-06-29,2379,瑞昱,,,C,783.0,28.03,89,100,1.5
2026-06-29,3363,上詮,,,D,902.0,5637.5,90,88,0.97
2026-06-29,6138,茂達,,,A,365.5,25.89,90,100,1.21
2026-06-29,3163,波若威,,,C,720.0,83.33,90,96,0.01
2026-06-29,4979,華星光,,,B,456.5,82.55,90,98,1.07
2026-06-29,4904,遠傳,,,B,106.0,26.84,91,90,2.4
2026-06-29,2880,華南金,,,金融🏦,37.3,19.63,91,99,
2026-06-29,5274,信驊,,,A,15210.0,129.04,93,100,1.07
2026-06-29,2455,全新,,,D,336.0,105.99,93,99,1.29
2026-06-29,2049,上銀,,,D,318.5,69.54,93,68,3.06
2026-06-29,6612,奈米醫材,⚠️便宜陷阱,,D,71.6,84.24,94,4,-1.67
2026-06-29,3653,健策,,,A,3320.0,90.46,94,99,0.92
2026-06-29,5278,尚凡*,⚠️便宜陷阱(動態惡化),,D,24.4,25.1,94,3,1.01
2026-06-29,2313,華通,,,A,221.0,38.98,94,99,1.62
2026-06-29,2368,金像電,,,A,1155.0,50.88,94,99,0.62
2026-06-29,2883,凱基金,,,金融🏦,29.6,17.04,94,100,
2026-06-29,8996,高力,,,A,1475.0,104.17,94,100,1.08
2026-06-29,5493,三聯,,,D,90.8,22.04,94,91,1.03
2026-06-29,2891,中信金,,,金融🏦,70.3,17.23,95,100,
2026-06-29,8016,矽創,,,D,317.0,20.06,95,68,1.55
2026-06-29,6515,穎崴,,,A,8015.0,162.71,95,98,0.63
2026-06-29,2330,台積電,,,A,2370.0,31.86,95,100,1.22
2026-06-29,2308,台達電,,,A,1905.0,70.27,95,98,1.28
2026-06-29,3481,群創,,,D,67.0,609.09,95,100,21.3
2026-06-29,7556,意德士,,,B,273.0,35.55,95,96,0.63
2026-06-29,2360,致茂,,,A,2080.0,65.47,96,99,0.31
2026-06-29,6683,雍智科技,,,D,1670.0,93.35,96,97,1.45
2026-06-29,3587,閎康,,,D,284.0,37.52,96,81,3.9
2026-06-29,2345,智邦,,,A,2340.0,44.25,96,99,0.92
2026-06-29,3265,台星科,,,C,174.5,30.61,97,100,1.67
2026-06-29,3715,定穎投控,,,D,166.0,166.0,97,97,-1.6
2026-06-29,3044,健鼎,,,A,499.5,24.27,98,100,1.13
2026-06-29,6274,台燿,,,B,1555.0,110.6,98,100,-0.38
2026-06-29,3583,辛耘,,,A,861.0,58.33,98,53,1.83
2026-06-29,6449,鈺邦,,,A,338.0,42.52,98,72,1.24
2026-06-29,2850,新產,,,金融🏦,140.0,11.4,98,99,0.64
2026-06-29,6223,旺矽,,,A,6060.0,158.06,99,100,0.63
2026-06-29,2885,元大金,,,金融🏦,65.7,23.98,99,100,
2026-06-29,3008,大立光,,,C,4380.0,27.76,99,89,1.21
2026-06-29,3711,日月光投控,,,B,627.0,57.73,99,100,3.26
2026-06-29,6257,矽格,,,B,224.5,33.61,99,100,1.81
2026-06-29,2383,台光電,,,A,5450.0,117.08,99,4,0.76
2026-06-29,6525,捷敏-KY,,,B,143.0,23.56,100,100,1.71
2026-06-29,2059,川湖,,,A,7110.0,62.67,100,100,1.1
2026-06-29,2890,永豐金,,,金融🏦,39.5,20.05,100,100,
2026-06-29,6451,訊芯-KY,,,D,525.0,2019.23,100,100,7.24
2026-06-29,1560,中砂,,,A,738.0,71.93,100,99,1.27
2026-06-30,6741,91APP*-KY,⚠️便宜陷阱,🔵未來低位,B,60.7,13.76,0,3,0.96
2026-06-30,9917,中保科,✅B級買點,🔵未來低位,B,105.5,15.56,0,13,1.3
2026-06-30,2752,豆府,✅B級買點,🔵未來低位,B,176.5,11.55,1,19,1.83
2026-06-30,6690,安碁資訊,✅B級買點,🔵未來低位,B,162.0,15.25,1,15,4.03
2026-06-30,2912,統一超,⚠️便宜陷阱(動態惡化),🔵未來低位,C,223.0,20.35,2,1,2.85
2026-06-30,6803,崑鼎,⚠️便宜陷阱,🔵未來低位,D,289.0,15.66,3,67,-0.87
2026-06-30,8462,柏文,⚠️便宜陷阱(動態惡化),,C,143.0,15.28,3,1,3.22
2026-06-30,8341,日友,⚠️便宜陷阱(動態惡化),,C,75.9,16.15,4,10,1.95
2026-06-30,1268,漢來美食,⭐A級買點,🔵未來低位,A,169.0,14.57,4,26,2.54
2026-06-30,6469,大樹,🔄循環買點(PBR),,C,74.9,19.16,6,14,2.05
2026-06-30,5203,訊連,⚠️便宜陷阱,,D,67.3,18.29,6,4,-2.09
2026-06-30,9911,櫻花,⚠️便宜陷阱,🔵未來低位,B,82.8,12.96,7,2,0.94
2026-06-30,1736,喬山,⭐A級買點,🔵未來低位,A,125.5,15.23,8,0,1.09
2026-06-30,2884,玉山金,🏦金融(看PBR/殖利率),,金融🏦,34.5,16.25,8,88,
2026-06-30,3687,歐買尬,⚠️便宜陷阱,,C,74.8,16.88,10,8,0.53
2026-06-30,3130,一零四,⚠️便宜陷阱,🔵未來低位,C,222.5,14.75,11,18,1.55
2026-06-30,5269,祥碩,⚠️便宜陷阱,🔵未來低位,C,1470.0,18.11,11,8,0.9
2026-06-30,3013,晟銘電,,,C,108.0,23.68,13,71,0.68
2026-06-30,6279,胡連,⚠️便宜陷阱,🔵未來低位,D,117.5,12.49,18,7,0.87
2026-06-30,2753,八方雲集,,🔵未來低位,A,187.5,13.91,21,62,1.93
