rank,代號,名稱,比重%
168,2472,立隆電,0.042
169,2312,金寶,0.0403
170,2606,裕民,0.0401
171,2845,遠東銀,0.0396
172,4583,台灣精銳,0.0396
173,8028,昇陽半導體,0.0394
174,5522,遠雄,0.0391
175,1319,東陽,0.0387
176,2637,慧洋-KY,0.0386
177,1773,勝一,0.0385
178,8926,台汽電,0.038
179,3035,智原,0.0371
180,2889,國票金,0.0367
181,1477,聚陽,0.0367
182,2258,鴻華先進-創,0.0363
183,3563,牧德,0.0363
184,6414,樺漢,0.0362
185,1795,美時,0.0358
186,2540,愛山林,0.0357
187,2597,潤弘,0.0355
188,6271,同欣電,0.0355
189,9917,中保科,0.0354
190,6282,康舒,0.0353
191,7799,禾榮科,0.0345
192,6831,邁科,0.0344
193,6176,瑞儀,0.0341
194,2006,東和鋼鐵,0.0339
195,2458,義隆,0.0338
196,3715,定穎投控,0.0338
197,7822,倍利科,0.0337
198,6116,彩晶,0.0336
199,3714,富采,0.0334
200,2915,潤泰全,0.0334
529,3003,健和興,0.0067
530,2349,錸德,0.0067
531,3535,晶彩科,0.0067
532,8341,日友,0.0067
533,2636,台驊控股,0.0066
534,3015,全漢,0.0065
535,1708,東鹼,0.0065
536,1714,和桐,0.0065
537,1442,名軒,0.0065
538,8374,羅昇,0.0065
539,8215,明基材,0.0065
540,4306,炎洲,0.0065
541,5292,華懋,0.0065
542,6277,宏正,0.0064
543,6957,裕慶-KY,0.0064
544,6914,阜爾運通,0.0064
545,1218,泰山,0.0064
546,1709,和益,0.0064
547,3032,偉訓,0.0064
548,2762,世界健身-KY,0.0064
549,2528,皇普,0.0063
550,1702,南僑,0.0063
551,8473,山林水,0.0063
552,5285,界霖,0.0063
553,3312,弘憶股,0.0063
554,5471,松翰,0.0062
555,6235,華孚,0.0062
556,1604,聲寶,0.0062
557,2630,亞航,0.0062
558,1532,勤美,0.0061
559,6115,鎰勝,0.0061
560,3504,揚明光,0.0061
561,9926,新海,0.0061
562,8103,瀚荃,0.006
563,3138,耀登,0.006
564,2484,希華,0.006
565,2365,昆盈,0.0059
566,2399,映泰,0.0059
