代號,分類,最新月份,最新月年增%,近36月可比基數,近36月成長月數,近36月成長比率%,近12月成長,近12月樣態,連續成長月數,近36月平均年增%
8016,🟢 全期強勢,2026/05,39.8,36,30,83.3,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,11.2
6214,🔵 多數成長,2026/05,45.8,36,26,72.2,10/12,✔✔✔✔✔✗✔✔✗✔✔✔,3,13.2
3016,🔴 轉弱/衰退,2026/05,37.3,36,10,27.8,8/12,✗✗✗✗✔✔✔✔✔✔✔✔,8,-4.7
3413,🔵 多數成長,2026/05,16.7,36,26,72.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,16.2
3673,🔴 轉弱/衰退,2026/05,-2.6,36,11,30.6,4/12,✗✗✗✗✗✗✗✔✔✔✔✗,0,-5.6
3357,🔵 多數成長,2026/05,37.8,36,27,75.0,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,15.7
2548,🟡 中性,2026/05,9203.6,36,21,58.3,10/12,✔✗✗✔✔✔✔✔✔✔✔✔,9,6881.7
1215,🟡 中性,2026/05,1.7,36,18,50.0,8/12,✔✔✗✔✗✔✔✔✗✔✗✔,1,-0.5
2464,🔴 轉弱/衰退,2026/05,30.8,36,10,27.8,5/12,✗✗✗✗✗✗✗✔✔✔✔✔,5,-8.9
2903,🔴 轉弱/衰退,2026/05,0.9,36,10,27.8,5/12,✗✗✔✗✔✗✗✗✔✗✔✔,2,-2.2
2316,🟡 中性,2026/05,39.1,36,18,50.0,10/12,✔✔✗✔✔✔✔✔✗✔✔✔,3,3.1
2072,— 資料不足/新上市
3010,— 資料不足/新上市
